,dataset_code,frequency,date,value,z_score
253119,CY3X,monthly,2022-11-01,117.2,2.8510618621345034
253120,CY3X,monthly,2022-12-01,122.4,3.1977701957308358
230584,CY3X,annual,2023-01-01,123.6,3.277779811176142
253122,CY3X,monthly,2023-02-01,112.0,2.5043535285381715
253123,CY3X,monthly,2023-03-01,112.7,2.551025804214601
253124,CY3X,monthly,2023-04-01,120.1,3.0444184327939956
253125,CY3X,monthly,2023-05-01,124.5,3.337787022760123
253126,CY3X,monthly,2023-06-01,120.7,3.08442324051665
253127,CY3X,monthly,2023-07-01,126.5,3.4711363818356356
253128,CY3X,monthly,2023-08-01,129.8,3.6911628243102315
253129,CY3X,monthly,2023-09-01,119.4,2.997746157117567
253130,CY3X,monthly,2023-10-01,130.2,3.7178326961253325
253131,CY3X,monthly,2023-11-01,148.1,4.911309459851168
253132,CY3X,monthly,2023-12-01,140.6,4.411249363317997
230585,CY3X,annual,2024-01-01,120.8,3.0910907084704253
253133,CY3X,monthly,2024-01-01,112.2,2.517688464445723
253134,CY3X,monthly,2024-02-01,119.1,2.9777437532562394
253135,CY3X,monthly,2024-03-01,117.0,2.837726926226952
253136,CY3X,monthly,2024-04-01,120.0,3.0377509648402206
253137,CY3X,monthly,2024-05-01,127.6,3.544478529327167
253138,CY3X,monthly,2024-06-01,115.5,2.737714906920318
253139,CY3X,monthly,2024-07-01,127.7,3.551145997280943
253140,CY3X,monthly,2024-08-01,122.0,3.171100323915733
253141,CY3X,monthly,2024-09-01,112.7,2.551025804214601
253142,CY3X,monthly,2024-10-01,118.4,2.931071477579811
253143,CY3X,monthly,2024-11-01,121.6,3.14443045210063
253144,CY3X,monthly,2024-12-01,135.8,4.091210901536768
192938,CY3Y,monthly,1988-12-01,190.3,3.198378125617757
192950,CY3Y,monthly,1989-12-01,190.2,3.1945127738223853
192962,CY3Y,monthly,1990-12-01,182.6,2.9007460373742004
193383,CY46,monthly,1988-12-01,526.2,2.804588640837451
193395,CY46,monthly,1989-12-01,539.3,2.92269001117792
193407,CY46,monthly,1990-12-01,521.4,2.7613148562852174
266446,CY4B,monthly,2020-12-01,124.2,2.7871621684423022
266457,CY4B,monthly,2021-11-01,118.3,2.5491373340714323
266458,CY4B,monthly,2021-12-01,124.7,2.807333764575427
266470,CY4B,monthly,2022-12-01,120.9,2.65402963396368
266482,CY4B,monthly,2023-12-01,117.3,2.508794141805183
266493,CY4B,monthly,2024-11-01,121.4,2.6742012300968048
266494,CY4B,monthly,2024-12-01,138.7,3.372138456302914
206660,CY4C,monthly,2019-12-01,123.8,2.532070372991899
206672,CY4C,monthly,2020-12-01,136.2,3.0636287004231253
206683,CY4C,monthly,2021-11-01,124.4,2.557790937222443
206684,CY4C,monthly,2021-12-01,130.5,2.8192833402329653
206720,CY4C,monthly,2024-12-01,130.3,2.8107098188227844
253950,EAFT,monthly,2017-12-01,125.4,2.643368679332768
253962,EAFT,monthly,2018-12-01,127.2,2.727777463513449
