sheet_name,table_name,date,value,frequency,agg_sic_code,dataset_code
CDKO,,1800,13.5,annual,,MM23
CDKO,,1801,15.1,annual,,MM23
CDKO,,1802,11.6,annual,,MM23
CDKO,,1803,11.0,annual,,MM23
CDKO,,1804,11.3,annual,,MM23
CDKO,,1805,13.1,annual,,MM23
CDKO,,1806,12.6,annual,,MM23
CDKO,,1807,12.3,annual,,MM23
CDKO,,1808,12.8,annual,,MM23
CDKO,,1809,14.0,annual,,MM23
CDKO,,1810,14.4,annual,,MM23
CDKO,,1811,14.0,annual,,MM23
CDKO,,1812,15.9,annual,,MM23
CDKO,,1813,16.3,annual,,MM23
CDKO,,1814,14.2,annual,,MM23
CDKO,,1815,12.7,annual,,MM23
CDKO,,1816,11.6,annual,,MM23
CDKO,,1817,13.2,annual,,MM23
CDKO,,1818,13.2,annual,,MM23
CDKO,,1819,12.9,annual,,MM23
CDKO,,1820,11.7,annual,,MM23
CDKO,,1821,10.3,annual,,MM23
CDKO,,1822,8.9,annual,,MM23
CDKO,,1823,9.5,annual,,MM23
CDKO,,1824,10.3,annual,,MM23
CDKO,,1825,12.1,annual,,MM23
CDKO,,1826,11.4,annual,,MM23
CDKO,,1827,10.7,annual,,MM23
CDKO,,1828,10.4,annual,,MM23
CDKO,,1829,10.3,annual,,MM23
CDKO,,1830,9.9,annual,,MM23
CDKO,,1831,10.9,annual,,MM23
CDKO,,1832,10.1,annual,,MM23
CDKO,,1833,9.5,annual,,MM23
CDKO,,1834,8.7,annual,,MM23
CDKO,,1835,8.9,annual,,MM23
CDKO,,1836,9.9,annual,,MM23
CDKO,,1837,10.1,annual,,MM23
CDKO,,1838,10.2,annual,,MM23
CDKO,,1839,10.9,annual,,MM23
CDKO,,1840,11.1,annual,,MM23
CDKO,,1841,10.9,annual,,MM23
CDKO,,1842,10.0,annual,,MM23
CDKO,,1843,8.9,annual,,MM23
CDKO,,1844,8.9,annual,,MM23
CDKO,,1845,9.3,annual,,MM23
CDKO,,1846,9.7,annual,,MM23
CDKO,,1847,10.9,annual,,MM23
CDKO,,1848,9.5,annual,,MM23
CDKO,,1849,8.9,annual,,MM23
CDKO,,1850,8.4,annual,,MM23
CDKO,,1851,8.1,annual,,MM23
CDKO,,1852,8.1,annual,,MM23
CDKO,,1853,8.9,annual,,MM23
CDKO,,1854,10.2,annual,,MM23
CDKO,,1855,10.5,annual,,MM23
CDKO,,1856,10.5,annual,,MM23
CDKO,,1857,10.0,annual,,MM23
CDKO,,1858,9.1,annual,,MM23
CDKO,,1859,9.0,annual,,MM23
CDKO,,1860,9.3,annual,,MM23
CDKO,,1861,9.5,annual,,MM23
CDKO,,1862,9.3,annual,,MM23
CDKO,,1863,9.0,annual,,MM23
CDKO,,1864,8.9,annual,,MM23
CDKO,,1865,9.0,annual,,MM23
CDKO,,1866,9.5,annual,,MM23
CDKO,,1867,10.1,annual,,MM23
CDKO,,1868,10.0,annual,,MM23
CDKO,,1869,9.5,annual,,MM23
CDKO,,1870,9.5,annual,,MM23
CDKO,,1871,9.6,annual,,MM23
CDKO,,1872,10.0,annual,,MM23
CDKO,,1873,10.4,annual,,MM23
CDKO,,1874,10.0,annual,,MM23
CDKO,,1875,9.8,annual,,MM23
CDKO,,1876,9.8,annual,,MM23
CDKO,,1877,9.7,annual,,MM23
CDKO,,1878,9.5,annual,,MM23
CDKO,,1879,9.1,annual,,MM23
CDKO,,1880,9.4,annual,,MM23
CDKO,,1881,9.3,annual,,MM23
CDKO,,1882,9.4,annual,,MM23
CDKO,,1883,9.3,annual,,MM23
CDKO,,1884,9.1,annual,,MM23
CDKO,,1885,8.8,annual,,MM23
CDKO,,1886,8.7,annual,,MM23
CDKO,,1887,8.6,annual,,MM23
CDKO,,1888,8.7,annual,,MM23
CDKO,,1889,8.8,annual,,MM23
CDKO,,1890,8.8,annual,,MM23
CDKO,,1891,8.9,annual,,MM23
CDKO,,1892,8.9,annual,,MM23
CDKO,,1893,8.8,annual,,MM23
CDKO,,1894,8.7,annual,,MM23
CDKO,,1895,8.6,annual,,MM23
