sheet_name,table_name,date,value,frequency,time_period_description,average_sales_2022,note_ref,dataset_code
Table 5,Index numbers of sales per week - Annually,1988,29.2,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1989,31.4,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1990,33.6,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1991,34.7,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1991,36.2,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1991,30.9,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1991,39.3,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1991,31.8,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1992,35.8,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1992,37.9,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1992,31.4,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1992,39.5,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1992,33.0,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1993,37.5,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1993,39.4,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1993,33.0,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1993,42.1,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1993,34.3,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1994,39.0,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1994,40.8,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1994,34.9,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1994,43.7,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1994,35.8,annual,Other non-food,,Note 3,"2,096"
Table 5,Index numbers of sales per week - Annually,1995,40.2,annual,Total excluding fuel,,,"8,453"
Table 5,Index numbers of sales per week - Annually,1995,42.5,annual,"Food, drink and tobacco",,Note 3,"3,391"
Table 5,Index numbers of sales per week - Annually,1995,35.5,annual,Clothing and footwear,,,"1,489"
Table 5,Index numbers of sales per week - Annually,1995,44.6,annual,Household goods,,Note 3,"1,477"
Table 5,Index numbers of sales per week - Annually,1995,36.8,annual,Other non-food,,Note 3,"2,096"
