sheet_name,Business type,column_type,value,note_ref
Table 6,ALL RETAILING INCLUDING AUTOMOTIVE FUEL [Note 1],ALL BUSINESSES - INDEX,94.8,
Table 6,ALL RETAILING EXCLUDING AUTOMOTIVE FUEL [Note 1],ALL BUSINESSES - INDEX,96.8,
Table 6,PREDOMINANTLY FOOD STORES,ALL BUSINESSES - INDEX,103.7,
Table 6,Non-specialised stores with food beverages and tobacco predominating,ALL BUSINESSES - INDEX,103.6,
Table 6,Specialist food stores,ALL BUSINESSES - INDEX,109.1,
Table 6,"Retail sale of alcoholic drinks, other beverages and tobacco",ALL BUSINESSES - INDEX,93.7,
Table 6,PREDOMINANTLY NON-FOOD STORES,ALL BUSINESSES - INDEX,89.8,
Table 6,Non-specialised stores,ALL BUSINESSES - INDEX,91.4,
Table 6,"Textile, clothing and footwear stores",ALL BUSINESSES - INDEX,85.7,
Table 6,Retail sale of textiles,ALL BUSINESSES - INDEX,69.1,
Table 6,Retail sale of clothing,ALL BUSINESSES - INDEX,86.1,
Table 6,Retail sale of footwear and leather goods,ALL BUSINESSES - INDEX,85.2,
Table 6,Household goods stores,ALL BUSINESSES - INDEX,91.2,
Table 6,"Retail sale of furniture, lighting and household articles",ALL BUSINESSES - INDEX,91.8,
Table 6,Retail sale of electrical household appliances,ALL BUSINESSES - INDEX,94.3,
Table 6,"Retail sale of hardware, paints and glass",ALL BUSINESSES - INDEX,86.6,
Table 6,Retail sale of audio and video recording equipment,ALL BUSINESSES - INDEX,128.5,
Table 6,Other non-food stores,ALL BUSINESSES - INDEX,91.6,
Table 6,"Retail sale of pharmaceutical, medical, cosmetic and toilet goods [Note 6]",ALL BUSINESSES - INDEX,92.1,
Table 6,"Retail sale of books, newspapers and stationary",ALL BUSINESSES - INDEX,84.0,
Table 6,Retail sale of floor coverings,ALL BUSINESSES - INDEX,125.9,
Table 6,Retail sale of computers and telecomms,ALL BUSINESSES - INDEX,124.4,
Table 6,Other retail sale in specialised stores not elsewhere classified including: jewellery; sports goods; and second-hand goods,ALL BUSINESSES - INDEX,87.1,
Table 6,NON-STORE RETAIL,ALL BUSINESSES - INDEX,97.2,
Table 6,Retail sale via mail order houses,ALL BUSINESSES - INDEX,97.9,
Table 6,Non-store retail excluding mail order,ALL BUSINESSES - INDEX,84.1,
Table 6,PREDOMINANTLY AUTOMOTIVE FUEL [Note 1],ALL BUSINESSES - INDEX,78.8,
Table 6,ALL RETAILING INCLUDING AUTOMOTIVE FUEL [Note 1],ALL BUSINESSES - % CHANGE,1.1,
Table 6,ALL RETAILING EXCLUDING AUTOMOTIVE FUEL [Note 1],ALL BUSINESSES - % CHANGE,1.6,
Table 6,PREDOMINANTLY FOOD STORES,ALL BUSINESSES - % CHANGE,1.9,
Table 6,Non-specialised stores with food beverages and tobacco predominating,ALL BUSINESSES - % CHANGE,2.1,
Table 6,Specialist food stores,ALL BUSINESSES - % CHANGE,-2.8,
Table 6,"Retail sale of alcoholic drinks, other beverages and tobacco",ALL BUSINESSES - % CHANGE,13.7,
Table 6,PREDOMINANTLY NON-FOOD STORES,ALL BUSINESSES - % CHANGE,1.9,
Table 6,Non-specialised stores,ALL BUSINESSES - % CHANGE,3.1,
Table 6,"Textile, clothing and footwear stores",ALL BUSINESSES - % CHANGE,-2.1,
Table 6,Retail sale of textiles,ALL BUSINESSES - % CHANGE,-18.3,
Table 6,Retail sale of clothing,ALL BUSINESSES - % CHANGE,-0.4,
Table 6,Retail sale of footwear and leather goods,ALL BUSINESSES - % CHANGE,-11.8,
